#size threads Join(1000) JoinContext(1000) sequential Raw Join(1000) Raw JoinContext(1000) Swap Join(1000) Swap JoinContext(1000) No copy Join(1000) No copy JoinContext(1000) Cut Join(1000) Cut JoinContext(1000) Rayon	OMP_sort
10000000 1 88788755.3 58436474.6 14296134 88764379.8 58426747.5 88668868.4 58340247.4 88537380.6 58361725.4 99619213.6 55876283.7 44954506.2	147526366.000000
10000000 2 72910212.6 43703158.3 14183527.3 73221944.7 43692551.7 73076012.8 43642175.8 73079397.9 43733158 81915522.9 44066136.9 38534410.8	71435012.000000
10000000 3 47912760.7 45698441.2 14222564.3 47989781.7 45690302 48354219.6 46332484.6 48383132.1 37953189.7 58695066.8 52630470 38147103.5	46059762.000000
10000000 4 48899272.8 42201289.3 14214535.2 48397133.8 43777723.2 44943702.2 42615446.9 45669762.2 35861989 55720655.7 46357922.2 45281962.6	36365858.000000
10000000 5 41693349.7 42438346.3 14201384.7 42627821.3 35750831.2 42035964.5 38140518.5 42178500.3 34028567.8 49443497.6 42702752.7 44322663.8	32693312.000000
10000000 6 37676549.5 35396677.3 14219810.8 37777912.8 36986426.9 38553897 34817679 37137670.4 33363254.5 47408928.1 41236412.3 44191252.7	28237770.000000
10000000 7 34436637.4 38533917.4 14222856.2 34595735.2 39838282 33831306.8 38638297.2 34154261.1 33437186.3 43930412.9 40560601 41911555.3	24786103.000000
10000000 8 32780118 39335553.6 14204264.8 36782948.3 36700090.6 36850706.9 39379415.3 33723633.9 29381998.4 43254416.5 41101334.5 36268144.9	21745701.000000
10000000 9 31748409.5 37159066.4 14210460.8 32215850.5 35781700.6 32139146.1 34788196.7 31907826.3 29303410.5 41455513.7 39327502.2 33075370.2	21045758.000000
10000000 10 30575711.4 32406872.2 14232806.3 34613521.5 38043282.1 30268702.5 36221557.2 34656162.8 28535702.7 40374480.1 40210201.7 33804867.1	16628664.000000
10000000 11 32867438.7 32722068.6 14232251.6 30310155.3 35664600 30018981.4 33860600.5 29282363.1 27941047.9 38527678.4 39332856.8 32173312.1	17602678.000000
10000000 12 29662543.4 34561559.7 14230183.5 29886439.3 36618547 32655463.5 35072233.1 32558716.6 27694556.7 38953557.6 36669223.3 32816688.2	15215381.000000
10000000 13 28559797.9 33198630 14233703.5 32104164.6 34512277.4 28509993.2 31924848.4 28200417.5 26754624.8 37458541.4 37994759.3 30949154.1	14270593.000000
10000000 14 28180250.1 34779499.5 14282515.5 27904754.5 31937940.8 27896070.1 38188944.6 29016904 28269035.8 37592950 37801296 34122573.7	14037313.000000
10000000 15 27896188.7 34261152.2 14235816.5 27260413 31952701.3 27787608.7 33795030.8 27717050.3 26402927.6 37350867.1 39437749 30914153.3	13591905.000000
10000000 16 27527800.7 33761066.3 14216926.5 27111110.3 33465333.1 26805374.9 34642891.5 30529559.8 27271896.5 36926403.2 37558969.7 36509333.3	12401475.000000
10000000 17 30057243.7 32688220.4 14210755.9 26870987.6 34688293.4 27586435.2 34823285.1 27350510.1 26405781.6 37206454.2 37078239.7 35861880.3	13801686.000000
10000000 18 26515744.2 34511854.3 14284038.3 27275055.6 33760300 27828719.7 30909506.2 27014265.8 26981537.5 37187681.2 34584175.8 36032192.1	13191188.000000
10000000 19 27405680.7 33555894.6 14198260.1 25843647.1 33600681.1 26656569.6 35911786.2 26316164.5 25861901.7 36695063.8 36909031.4 35398722.1	13463596.000000
10000000 20 25851465.4 35666684 14238667.6 30153683.2 32584850.2 26319153 32402613.9 26508695 27046370.2 36287301.5 36910233 37242891.9	12344569.000000
10000000 21 26867726.4 31591637.8 14196910.9 26545322.6 31504270.6 26224887.8 31802400.5 27254661.5 27236633.8 35774101.4 37143555.4 34445616.1	16242768.000000
10000000 22 25858026.2 33659601.4 14924506.5 25397733.4 30849459.7 26024007.9 33648845.1 26669117.1 26259249.8 35912620.2 37151983.6 36152888.9	13147982.000000
10000000 23 26006108.5 36938496 14238321.9 25920968.5 32940603.1 26864977.8 33942031 26255230.9 24445054.1 35782276 36472695.8 35910965	14094857.000000
10000000 24 25684327.5 31928485.4 14200769.6 25632334.9 33887485.3 25580683.6 32115464.6 25356888.6 25454932.9 36267444.4 33481886.2 37596894.9	15407875.000000
10000000 25 25286605 31037247.6 14240054.3 25112625.5 30974418.5 25675675.2 30043237.8 26531321.8 25455622.2 36435301.5 37726962.4 36061204.9	15164068.000000
10000000 26 25696930.6 33044234.7 14248295 25763756.2 29036085.9 25873427.7 35506781.5 26286657.4 26398577.2 36173264.6 35361730.3 37048270.4	9325879.000000
10000000 27 24936549.4 31338717.8 14307622.4 25302393.1 33598887.3 25435982.6 31910230.1 25791944.6 25530381.2 36504684.5 37164563.9 35393013.4	14432497.000000
10000000 28 24969158.7 30331135.5 14192283.5 25527141.4 31796394.5 25315720.8 34500252.1 25588989.1 26500947.9 36356157.2 34771834.2 34340123.1	14003173.000000
10000000 29 25089188.1 30635062.7 14214430.9 24994524.4 29273171.6 25721001.5 30910883.2 25210835.6 25847464.1 36319689.7 37576609.6 35687988.8	13602712.000000
10000000 30 25928722.5 30452369.9 14172131.3 25021089.5 30519404.5 25461588.3 29345074.1 25281128.6 25986172.8 36311154.5 34082083.9 35369847.1	13102265.000000
10000000 31 25741806.9 29811238.9 14269269.1 25053363.5 32613222.7 24628140.7 28727885.3 24903034.7 25175733.6 35790738.8 34161395.1 34626404.1	12574320.000000
10000000 32 24738114.8 31967841.8 14264044.3 25441014.3 29921197.6 26255483.7 30975875.3 24838589.8 29917207.8 36276167.7 36724209.4 29444031.1	12497809.000000
