#size threads Join(1000) JoinContext(1000) sequential Raw Join(1000) Raw JoinContext(1000) Swap Join(1000) Swap JoinContext(1000) No copy Join(1000) No copy JoinContext(1000) Cut Join(1000) Cut JoinContext(1000) Rayon	OMP_sort
10000000 1 28705586 7802458.6 7681947.5 28084300.6 7728598.1 28200272.7 7827403.6 28572955.4 7811779.3 31245664.6 7836180.9 7697730.1	194185980.000000
10000000 2 20155840.3 6900488.2 7615931.3 20692700 6898996.6 20619399.7 6907936.6 20559492.3 6902176.6 23123593.1 6986701.5 6871639.9	84356591.000000
10000000 3 12610430.1 4616143.6 7576101.4 12737149.1 4642249.9 12631013.7 4736181.4 12690381.3 4570436.8 14090604.9 4846118.5 4404606.2	55546001.000000
10000000 4 11132637.6 4265864.2 7627807 11090087 4175702.3 10994072.2 4201090.6 11132082.6 4162910.1 12240932.6 4453480.1 4199824.5	43949401.000000
10000000 5 8982984.9 3965912.1 7595764.1 9045097.2 3936634.5 8958286.2 3876137.3 9028505.4 3869005.7 10005559.4 3978103.4 3768130	38993134.000000
10000000 6 8273162.2 3742580.1 7615194.5 8359153.4 3712224.3 8269099 3734193.3 8334186.9 3787742 9174157.1 3723069.2 3627021.6	32795569.000000
10000000 7 7144855.9 3123968.4 7601414 7068979.2 3179161.3 7069474.6 3136693.8 7093403.9 3156569.1 7821303.4 3250686.6 3198015.8	28251476.000000
10000000 8 6640392.7 3112350 7616349.5 6634721.5 3111493.9 6653466.3 3136127 6663300.4 3088678.8 7326300 3147155.7 3351688.3	24986384.000000
10000000 9 6093993.9 3134934.5 7603894.7 6091771.1 3021064.9 6068935.7 3077400.6 6121006.2 3028453.8 6662956 2924335 3213536.4	22081504.000000
10000000 10 5879384.2 3011072.1 7627467.5 5850415.3 2980599.2 5889253.4 3035349.1 5912697.8 3078951 6410697 3016392.4 3167120.7	19789303.000000
10000000 11 5411603.7 2914707 7615307.4 5402535.8 2872064.3 5369412.5 2879238.5 5409269.9 2835170.6 5856452.8 2874138.5 3120244.9	18691893.000000
10000000 12 5215141.2 2917179.5 7607330.2 5268481.1 2856461.8 5219822.3 2962778.5 5263173.6 2927693.6 5703315.5 2784210.8 3066669.4	17194928.000000
10000000 13 4895382.1 2797129 7610594.9 4898276.2 2873377.4 4904646.9 2880468 4922290.2 2818882.6 5287709.7 2805825.8 3065511.6	16018740.000000
10000000 14 4792959.3 2784090.3 7593152.1 4787264.6 2799930.9 4748508.5 2766589 4775291.8 2754079.2 5167123.5 2748170.6 2951501.9	15525147.000000
10000000 15 4624908.1 2755562.8 7604301.8 4504386.8 2721536 4569738.9 2739712 4543230.4 2814161.9 4911124.2 2701713.7 2918722.9	15110198.000000
10000000 16 4490873.9 2734480 7609439.9 4404164.1 2670913.3 4432386.4 2731300 4438361.3 2787750.4 4753038.5 2638290.6 3227371.2	14680005.000000
10000000 17 4575218.8 2894943.7 7600975.4 4563661.1 2831144.7 4577143 2918338.6 4573002.4 2893284.9 4924625.5 2827391.9 3416847.3	14149471.000000
10000000 18 4547633.2 2819742.7 7610410.1 4493034 2939894.2 4523329.6 2848244.9 4523118.4 2837865.6 4889329.2 2876894.2 3412042.6	13708337.000000
10000000 19 4398469.4 2863182.9 7614434.4 4388253.1 2922458.3 4343594.9 2798903.7 4367767.9 2845664.2 4669277.9 2794633.9 3463351.5	14742527.000000
10000000 20 4309071.8 2795306.9 7609586 4296062.4 2806181.6 4347318.9 2833497.6 4307840.9 2790098.1 4653126.5 2789520 3316358	13811767.000000
10000000 21 4226531 2747312.8 7633047.3 4204326.9 2862860.2 4222650.4 2877020.1 4196574.2 2775500.4 4530434.8 2875541.4 3313868.7	14112604.000000
10000000 22 4182254.5 3011687.5 7551389 4166662.9 2817680.3 4182427 2887781.4 4205277.8 2890152.6 4441583.5 2918850.4 3418087.6	14591197.000000
10000000 23 4085617.7 2853700.2 7634593.3 4164872.2 2851213.1 4091276.2 2883363.4 4131158.9 2919212.6 4404349.1 2893418.2 3339632.2	14953897.000000
10000000 24 4060361.7 2872404 7625658.7 4172000.3 2840800.5 4095331.9 2841454.1 4139605.5 2880010.6 4342920.9 2817624.3 3430498.1	17014137.000000
10000000 25 4252577.3 2986816.7 7595549.6 4303110.2 3076083.5 4379208.6 2970062.3 4277868 3028374.7 4579785.8 3054440.5 3594450.2	15409810.000000
10000000 26 4316348.4 3088650.2 7610486.6 4274739.8 3133179.1 4403042.4 3056869.4 4288836.4 3115611.9 4575004.8 3055064.4 3583762.5	15921428.000000
10000000 27 4238652.5 3164907.8 7660071.2 4363909.9 3208576.7 4179921.1 2999475.1 4287132.8 3049112.5 4479291 3025531.7 3701560.3	16522659.000000
10000000 28 4197881 3169198.1 7626943.6 4231359.1 3059592.2 4280490.9 3084931.1 4252797.8 3039833.7 4490786.3 3092481.6 3730920.2	10357126.000000
10000000 29 4170014.7 3157411.2 7678285 4254247.4 3144730.6 4225695.8 3131048.1 4301838.1 3091256.9 4438404.4 3079119 3723670.7	9062170.000000
10000000 30 4222020.8 3069125.9 7598085.5 4253506.9 3175159 4208466.6 3204899.7 4174544 3099716.6 4356174.6 3086851.7 3743646.5	15113597.000000
10000000 31 4162869.7 3294993.8 7705731.4 4184631.5 3313424.7 4230420.5 3262146.7 4253926.9 3284755.3 4411436.8 3158544 3760685.1	14504901.000000
10000000 32 4194931.9 3199029.8 7634579.8 4235653.1 3144579.9 4046999.2 3153421.8 4129004.9 3202371.9 4376521.9 3174460.3 4325471.7	14009387.000000
